customerID,Partner,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,CLTV,Satisfaction Score,Churn,AgeGroup
8191-XWSZG,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,52,20.65,5186,4,No,Middle Age (30–59)
9959-WOFKT,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),71,106.7,4479,3,No,Middle Age (30–59)
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),10,55.2,5925,1,Yes,Under 30
4183-MYFRB,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,21,90.05,5982,3,No,Middle Age (30–59)
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,39.65,5433,3,Yes,Senior (≥ 60)
1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),12,19.8,5279,4,No,Middle Age (30–59)
1066-JKSGK,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,20.15,4832,1,Yes,Under 30
3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58,59.9,6407,3,No,Under 30
6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49,59.6,4986,3,No,Middle Age (30–59)
6865-JZNKO,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30,55.3,2725,4,No,Under 30
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,99.35,5789,1,Yes,Middle Age (30–59)
8665-UTDHZ,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,30.2,2915,1,Yes,Under 30
5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,90.25,5974,3,No,Middle Age (30–59)
8773-HHUOZ,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,17,64.7,3022,1,Yes,Under 30
3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),71,96.35,5309,4,No,Senior (≥ 60)
4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2,95.5,4449,5,No,Senior (≥ 60)
6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,27,66.15,3213,3,No,Middle Age (30–59)
7310-EGVHZ,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),1,20.2,5526,5,No,Middle Age (30–59)
3413-BMNZE,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,45.25,3144,3,No,Senior (≥ 60)
6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),72,99.9,5915,4,No,Middle Age (30–59)
6047-YHPVI,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,69.7,2454,1,Yes,Middle Age (30–59)
6572-ADKRS,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46,74.8,3395,3,No,Under 30
5380-WJKOV,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,106.35,2941,2,Yes,Middle Age (30–59)
8168-UQWWF,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),11,97.85,5674,3,Yes,Middle Age (30–59)
8865-TNMNX,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,10,49.55,2392,3,No,Middle Age (30–59)
9489-DEDVP,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),70,69.2,4715,3,No,Middle Age (30–59)
9867-JCZSP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,17,20.75,3646,4,No,Under 30
4671-VJLCL,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),63,79.85,4595,3,No,Middle Age (30–59)
4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,13,76.2,2569,5,No,Middle Age (30–59)
3714-NTNFO,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49,84.5,6434,5,No,Middle Age (30–59)
5948-UJZLF,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,2,49.25,3805,5,No,Under 30
7760-OYPDY,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2,80.65,5586,1,Yes,Middle Age (30–59)
7639-LIAYI,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),52,79.75,4142,4,No,Under 30
2954-PIBKO,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69,64.15,5128,3,No,Middle Age (30–59)
8012-SOUDQ,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,43,90.25,2223,4,No,Senior (≥ 60)
9420-LOJKX,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),15,99.1,2966,1,Yes,Middle Age (30–59)
6575-SUVOI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),25,69.5,3154,4,No,Senior (≥ 60)
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),8,80.65,5302,3,Yes,Senior (≥ 60)
4667-QONEA,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),60,74.85,5153,3,No,Senior (≥ 60)
1658-BYGOY,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,18,95.45,3179,2,Yes,Senior (≥ 60)
8769-KKTPH,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),63,99.65,4572,3,No,Middle Age (30–59)
5067-XJQFU,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,66,108.45,4582,5,No,Senior (≥ 60)
3957-SQXML,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34,24.95,5408,3,No,Middle Age (30–59)
5954-BDFSG,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,107.5,4708,3,No,Middle Age (30–59)
0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,100.5,4488,3,No,Middle Age (30–59)
1215-FIGMP,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60,89.9,6292,3,No,Under 30
0526-SXDJP,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),72,42.1,6091,4,No,Middle Age (30–59)
0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),18,54.4,4948,5,No,Middle Age (30–59)
5698-BQJOH,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,9,94.4,5571,3,Yes,Middle Age (30–59)
5122-CYFXA,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3,75.3,5387,3,No,Middle Age (30–59)
8627-ZYGSZ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,47,78.9,3817,5,No,Middle Age (30–59)
3410-YOQBQ,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,31,79.2,4984,5,No,Middle Age (30–59)
3170-NMYVV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),50,20.15,5849,4,No,Middle Age (30–59)
7410-OIEDU,No,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,10,79.85,5983,3,No,Under 30
2273-QCKXA,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,1,49.05,3178,3,No,Middle Age (30–59)
0731-EBJQB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,52,20.4,5482,3,No,Under 30
1891-QRQSA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),64,111.6,4881,4,No,Senior (≥ 60)
8028-PNXHQ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),62,24.25,4444,5,No,Middle Age (30–59)
5630-AHZIL,No,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3,64.5,5613,3,No,Middle Age (30–59)
2673-CXQEU,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,56,110.5,4463,4,No,Senior (≥ 60)
6416-JNVRK,No,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),46,55.65,2867,5,No,Middle Age (30–59)
5590-ZSKRV,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,8,54.65,5614,3,No,Middle Age (30–59)
0191-ZHSKZ,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,30,74.75,3033,4,No,Senior (≥ 60)
3887-PBQAO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),45,25.9,5741,4,No,Middle Age (30–59)
5919-TMRGD,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,79.35,2483,1,Yes,Middle Age (30–59)
8108-UXRQN,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,11,50.55,3443,3,No,Under 30
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,75.15,3457,1,Yes,Middle Age (30–59)
9919-YLNNG,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),42,103.8,4005,4,No,Middle Age (30–59)
0318-ZOPWS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),49,20.15,5422,5,No,Middle Age (30–59)
4445-ZJNMU,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),9,99.3,3540,3,No,Middle Age (30–59)
4808-YNLEU,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),35,62.15,5255,4,No,Middle Age (30–59)
1862-QRWPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),48,20.65,4124,5,No,Under 30
2796-NNUFI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,46,19.95,5480,5,No,Middle Age (30–59)
3016-KSVCP,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,29,33.75,3664,3,No,Middle Age (30–59)
4767-HZZHQ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),30,82.05,5036,3,No,Middle Age (30–59)
2424-WVHPL,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,1,74.7,4182,5,No,Senior (≥ 60)
7233-PAHHL,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,66,84.0,5825,4,No,Middle Age (30–59)
6067-NGCEU,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65,111.05,5261,4,No,Middle Age (30–59)
9848-JQJTX,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,100.9,5781,3,No,Middle Age (30–59)
8637-XJIVR,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12,78.95,5806,1,Yes,Middle Age (30–59)
9803-FTJCG,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),71,66.85,4117,4,No,Middle Age (30–59)
0278-YXOOG,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5,21.05,2604,3,Yes,Middle Age (30–59)
3212-KXOCR,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),52,21.0,4158,4,No,Middle Age (30–59)
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,25,98.5,5337,2,Yes,Senior (≥ 60)
6380-ARCEH,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,20.2,2710,3,No,Under 30
3679-XASPY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1,19.45,5612,3,No,Middle Age (30–59)
7123-WQUHX,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),38,95.0,4741,5,No,Middle Age (30–59)
5386-THSLQ,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),66,45.55,6238,5,No,Senior (≥ 60)
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),68,110.0,5034,2,Yes,Under 30
6180-YBIQI,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,5,24.3,4015,3,No,Middle Age (30–59)
6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,72,104.15,4594,3,No,Under 30
9750-BOOHV,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,32,30.15,3585,4,No,Middle Age (30–59)
8597-CWYHH,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,43,94.35,5845,3,No,Middle Age (30–59)
2848-YXSMW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),72,19.4,5234,5,No,Middle Age (30–59)
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,55,96.75,5154,1,Yes,Middle Age (30–59)
4549-ZDQYY,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),52,57.95,6078,3,No,Middle Age (30–59)
5712-AHQNN,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,43,91.65,3826,5,No,Middle Age (30–59)
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37,76.5,2793,2,Yes,Senior (≥ 60)
5256-SKJGO,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,64,54.6,4850,4,No,Middle Age (30–59)
3071-VBYPO,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,3,89.85,4648,3,No,Middle Age (30–59)
9560-BBZXK,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),36,31.05,4871,4,No,Middle Age (30–59)
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,10,100.25,5998,2,Yes,Middle Age (30–59)
8402-OOOHJ,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,41,20.65,5918,5,No,Middle Age (30–59)
9445-ZUEQE,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),27,85.2,3796,3,No,Middle Age (30–59)
1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),56,99.8,4606,4,No,Under 30
2928-HLDBA,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,6,20.7,5346,5,No,Middle Age (30–59)
0404-SWRVG,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,74.4,4415,1,Yes,Under 30
6497-TILVL,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,7,50.7,3097,3,No,Under 30
7219-TLZHO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,4,20.85,3172,5,No,Under 30
4622-YNKIJ,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,33,88.95,5087,3,No,Middle Age (30–59)
4412-YLTKF,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,27,78.05,4638,1,Yes,Senior (≥ 60)
6734-PSBAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),72,23.55,5901,3,No,Middle Age (30–59)
3930-ZGWVE,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,19.75,2484,3,No,Middle Age (30–59)
2639-UGMAZ,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,71,56.45,5372,3,No,Senior (≥ 60)
2876-GZYZC,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,13,85.95,5886,5,No,Middle Age (30–59)
6207-WIOLX,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25,58.6,4190,1,Yes,Under 30
8587-XYZSF,No,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),67,50.55,6064,5,No,Middle Age (30–59)
3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,35.45,2301,3,Yes,Middle Age (30–59)
2372-HWUHI,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,44.35,2570,3,Yes,Middle Age (30–59)
7799-LGRDP,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),43,25.7,2017,4,No,Middle Age (30–59)
7850-VWJUU,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23,75.0,2221,4,No,Middle Age (30–59)
3774-VBNXY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,64,20.2,4557,5,No,Under 30
6217-KDYWC,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,57,19.6,4393,3,No,Middle Age (30–59)
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,70.45,3964,2,Yes,Senior (≥ 60)
3146-MSEGF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,88.05,6102,3,No,Senior (≥ 60)
4080-OGPJL,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,8,71.15,2662,1,Yes,Middle Age (30–59)
1095-WGNGG,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),61,101.05,6311,4,No,Middle Age (30–59)
2636-SJDOU,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),64,84.3,5044,3,No,Middle Age (30–59)
1131-QQZEB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),71,23.95,4329,3,No,Senior (≥ 60)
5716-EZXZN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),65,99.05,5878,3,No,Middle Age (30–59)
6837-BJYDQ,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,3,19.6,2543,5,No,Middle Age (30–59)
2135-RXIHG,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,45.65,2600,1,Yes,Middle Age (30–59)
6440-DKQGE,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),30,64.5,4320,5,No,Middle Age (30–59)
3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,15,69.5,3128,4,No,Middle Age (30–59)
3780-YVMFA,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,8,68.55,3123,3,No,Middle Age (30–59)
3874-EQOEP,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,7,95.0,2786,1,Yes,Middle Age (30–59)
1679-JRFBR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),70,108.15,5192,4,No,Under 30
9073-ZZIAY,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,62,86.1,5769,4,No,Middle Age (30–59)
3077-RSNTJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,6,19.7,4293,3,No,Under 30
6551-GNYDG,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),14,80.9,2563,5,No,Middle Age (30–59)
9167-APMXZ,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22,84.15,3549,3,No,Under 30
2749-CTKAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22,20.15,2173,5,No,Middle Age (30–59)
6371-NZYEG,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,16,64.25,5511,4,No,Middle Age (30–59)
7554-NEWDD,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),10,25.7,3611,5,No,Middle Age (30–59)
8992-VONJD,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,13,56.0,5156,3,No,Middle Age (30–59)
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,20,82.4,5719,1,Yes,Under 30
4482-EWFMI,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,69.7,3056,5,No,Middle Age (30–59)
4648-YPBTM,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),53,73.9,5644,4,No,Middle Age (30–59)
2907-ILJBN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,11,20.6,4047,3,No,Under 30
6345-FZOQH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,69,19.9,5570,5,No,Middle Age (30–59)
3376-BMGFE,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4,70.9,4287,1,Yes,Middle Age (30–59)
5997-OPVFA,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,89.05,6212,4,No,Middle Age (30–59)
3445-HXXGF,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,58,45.3,5444,1,Yes,Senior (≥ 60)
1159-WFSGR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,16,20.4,3990,4,No,Middle Age (30–59)
7654-YWJUF,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),43,84.25,4382,3,No,Middle Age (30–59)
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,104.4,4690,3,Yes,Under 30
