Customer ID,Partner,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,CLTV,Satisfaction Score,AgeGroup
4385-GZQXV,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,16,94.45,3810,1,Senior (≥ 60)
6366-ZGQGL,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,24.8,5087,2,Middle Age (30–59)
5940-AHUHD,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,70.6,3338,2,Middle Age (30–59)
4484-GLZOU,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,52,105.05,4839,2,Under 30
3488-PGMQJ,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,8,74.5,4345,2,Senior (≥ 60)
3580-REOAC,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),10,44.85,4061,2,Middle Age (30–59)
7534-BFESC,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24,76.1,2018,2,Senior (≥ 60)
4847-TAJYI,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6,89.35,2578,3,Senior (≥ 60)
6390-DSAZX,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,73.6,2565,1,Under 30
8098-LLAZX,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,95.45,3677,3,Senior (≥ 60)
8266-VBFQL,No,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,4,90.4,3314,3,Middle Age (30–59)
0265-EDXBD,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,32,74.9,4105,2,Senior (≥ 60)
7563-BIUPC,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,5,80.6,5715,2,Middle Age (30–59)
2321-OMBXY,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),38,80.3,2071,1,Middle Age (30–59)
2840-XANRC,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,24,93.15,2212,2,Senior (≥ 60)
5020-ZSTTY,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),54,82.45,4149,1,Senior (≥ 60)
5804-LEPIM,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,70.35,2671,3,Senior (≥ 60)
0122-OAHPZ,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,7,73.85,2473,3,Under 30
2868-SNELZ,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,2,80.6,2683,1,Middle Age (30–59)
6680-NENYN,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,43,104.6,5250,1,Under 30
1343-EHPYB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,63,103.4,4352,2,Middle Age (30–59)
2034-GDRCN,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2,90.4,4157,3,Middle Age (30–59)
0219-YTZUE,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4,84.8,4939,3,Under 30
0623-IIHUG,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,21,41.9,4778,1,Senior (≥ 60)
4572-DVCGN,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),10,80.25,3598,3,Middle Age (30–59)
9057-MSWCO,Yes,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),27,30.75,2927,1,Senior (≥ 60)
1010-DIAUQ,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),5,96.5,5383,3,Middle Age (30–59)
0259-GBZSH,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2,85.65,3878,1,Under 30
6905-NIQIN,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,1,50.65,2431,1,Under 30
5167-ZFFMM,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1,90.85,3424,3,Middle Age (30–59)
4895-TMWIR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,11,19.95,5888,1,Senior (≥ 60)
0533-BNWKF,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,55,85.45,5502,1,Senior (≥ 60)
0224-RLWWD,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,44.3,3805,3,Senior (≥ 60)
7989-CHGTL,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1,19.6,3448,1,Middle Age (30–59)
0334-GDDSO,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,3,81.35,2818,1,Senior (≥ 60)
0578-SKVMF,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,22,83.3,3804,1,Under 30
5564-NEMQO,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,75.3,4902,2,Senior (≥ 60)
5605-IYGFG,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,69.85,5501,3,Middle Age (30–59)
8734-DKSTZ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,10,85.95,4922,3,Under 30
7752-XUSCI,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,60,105.9,4105,2,Under 30
4110-PFEUZ,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,69.55,2792,1,Middle Age (30–59)
0256-LTHVJ,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,28,81.05,5201,1,Middle Age (30–59)
1452-VOQCH,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,75.1,4120,3,Middle Age (30–59)
0880-TKATG,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,4,101.15,4417,1,Under 30
3811-VBYBZ,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,7,99.8,2031,1,Middle Age (30–59)
4640-UHDOS,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,13,55.95,4498,1,Middle Age (30–59)
3583-EKAPL,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,55.0,4877,1,Under 30
9399-APLBT,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,74.7,5980,1,Middle Age (30–59)
2359-KMGLI,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,24,80.25,4418,1,Middle Age (30–59)
0306-JAELE,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,5,96.1,4192,1,Middle Age (30–59)
6227-HWPWX,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),15,69.0,5671,1,Middle Age (30–59)
0447-BEMNG,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48,45.3,4926,1,Under 30
5949-XIKAE,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,8,83.55,2879,1,Middle Age (30–59)
9094-AZPHK,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,15,100.15,2565,3,Middle Age (30–59)
8372-JUXUI,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,74.35,2814,1,Middle Age (30–59)
0388-EOPEX,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,74.4,4263,1,Under 30
6235-VDHOM,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,5,28.45,4099,2,Senior (≥ 60)
7783-YKGDV,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),12,99.7,2538,1,Middle Age (30–59)
5609-CEBID,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,20,94.1,2666,1,Senior (≥ 60)
7218-HKQFK,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,94.2,3715,2,Middle Age (30–59)
5956-VKDTT,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,74.35,5273,1,Senior (≥ 60)
9412-GHEEC,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),40,104.8,3492,1,Middle Age (30–59)
0257-ZESQC,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),27,75.2,4517,1,Senior (≥ 60)
6825-UYPFK,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23,75.6,2115,1,Middle Age (30–59)
8397-MVTAZ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,100.05,2568,3,Under 30
9282-IZGQK,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,85.0,5679,3,Middle Age (30–59)
1342-JPNKI,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),10,86.05,2966,3,Middle Age (30–59)
6986-IJDHX,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,39,86.3,3364,1,Under 30
5301-GAUUY,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),32,80.35,5974,1,Middle Age (30–59)
0939-YAPAF,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,35,100.25,2744,3,Middle Age (30–59)
4710-FDUIZ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),56,100.3,5170,2,Middle Age (30–59)
8270-RKSAP,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,9,70.5,3198,3,Middle Age (30–59)
1218-VKFPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,12,19.0,3535,1,Middle Age (30–59)
3627-FHKBK,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,1,75.3,3244,1,Under 30
2865-TCHJW,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,4,89.2,5808,1,Senior (≥ 60)
5192-EBGOV,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,85.7,4880,1,Senior (≥ 60)
0719-SYFRB,No,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,12,61.65,5670,1,Middle Age (30–59)
3419-SNJJD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65,105.25,4196,1,Senior (≥ 60)
6543-CPZMK,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,9,29.95,2573,2,Middle Age (30–59)
4765-OXPPD,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,9,65.0,3983,1,Under 30
4059-IIEBK,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,78.55,4025,3,Middle Age (30–59)
4554-YGZIH,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),49,90.05,5059,2,Senior (≥ 60)
5099-BAILX,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),43,110.75,2728,2,Senior (≥ 60)
7207-RMRDB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,65,105.5,5720,1,Under 30
4913-EHYUI,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),56,104.55,6268,1,Senior (≥ 60)
0195-IESCP,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,10,85.25,3573,3,Under 30
4580-TMHJU,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,43,56.15,2152,2,Middle Age (30–59)
0970-ETWGE,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,89.55,4996,2,Middle Age (30–59)
1626-ERCMM,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,20,94.55,5604,1,Senior (≥ 60)
5644-PDMZC,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,2,89.5,2065,2,Senior (≥ 60)
9576-ANLXO,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3,69.55,2876,1,Middle Age (30–59)
2024-BASKD,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,1,74.6,3860,3,Under 30
4160-AMJTL,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,8,19.65,5432,2,Senior (≥ 60)
5650-VDUDS,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,4,24.25,2038,2,Middle Age (30–59)
2800-VEQXM,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,3,74.75,3319,3,Middle Age (30–59)
7538-GWHML,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,69.65,2323,2,Middle Age (30–59)
3859-CVCET,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,4,45.65,2864,1,Middle Age (30–59)
3276-HDUEG,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,75.05,4838,2,Under 30
0823-HSCDJ,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,52,49.15,5597,2,Senior (≥ 60)
0822-GAVAP,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2,34.7,3146,1,Under 30
1448-PWKYE,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,80.0,2046,1,Middle Age (30–59)
0067-DKWBL,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,49.25,3475,2,Senior (≥ 60)
2276-YDAVZ,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),3,75.1,4965,3,Middle Age (30–59)
5896-NPFWW,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,3,50.15,3273,1,Under 30
1766-GKNMI,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,29,84.9,4388,3,Middle Age (30–59)
7133-VBDCG,No,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25,79.85,4535,2,Middle Age (30–59)
1029-QFBEN,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,19.55,3556,2,Under 30
4952-YSOGZ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,4,85.95,5640,3,Middle Age (30–59)
5244-IRFIH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,33,94.5,4333,3,Senior (≥ 60)
2684-EIWEO,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),30,91.7,2482,1,Senior (≥ 60)
6439-GTPCA,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,45,87.25,5269,1,Under 30
5138-WVKYJ,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,10,98.55,3658,1,Middle Age (30–59)
6683-VLCTZ,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,20,98.55,5444,3,Senior (≥ 60)
1894-IGFSG,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,22,89.25,3161,1,Middle Age (30–59)
7379-POKDZ,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,70.3,3038,1,Middle Age (30–59)
0236-HFWSV,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,15,93.35,5264,1,Middle Age (30–59)
3900-AQPHZ,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,19.9,4248,2,Middle Age (30–59)
5842-POCOP,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,5,88.9,4356,1,Middle Age (30–59)
